,City,Country,Latitude,Longitude,Date,Temperature,Wind_Speed,Cloud_cover,Humidity
0,Atherton,GB,53.52,-2.49,1597557972,61.0,1.99,100,86
1,Hermanus,ZA,-34.42,19.23,1597557567,46.99,1.01,69,84
2,Glenwood Springs,US,39.55,-107.32,1597557893,69.8,6.93,1,20
3,Linqiong,CN,30.42,103.46,1597557975,73.0,11.18,40,100
4,Chokurdakh,RU,70.63,147.92,1597557908,41.4,11.95,96,82
5,Punta Arenas,CL,-53.15,-70.92,1597557540,33.8,27.51,85,100
6,Severo-Kuril'sk,RU,50.68,156.12,1597557596,55.24,7.99,98,77
7,Rikitea,PF,-23.12,-134.97,1597557662,71.04,15.41,0,80
8,Barrow,US,71.29,-156.79,1597557905,46.4,3.36,90,93
9,Erzin,TR,36.96,36.2,1597557983,81.0,4.32,0,74
10,Mataura,NZ,-46.19,168.86,1597557600,46.0,3.0,23,87
11,Bandarbeyla,SO,9.49,50.81,1597557985,82.2,28.27,100,55
12,Dunedin,NZ,-45.87,170.5,1597557987,46.99,1.01,67,83
13,Hobart,AU,-42.88,147.33,1597557563,55.4,14.99,75,82
14,San Cristobal,VE,7.77,-72.22,1597557989,65.61,1.97,95,90
15,Bredasdorp,ZA,-34.53,20.04,1597557783,46.4,8.05,33,87
16,Jamestown,US,42.1,-79.24,1597557391,64.4,8.05,1,88
17,Saskylakh,RU,71.92,114.08,1597557599,66.54,7.31,29,35
18,Cherskiy,RU,68.75,161.3,1597557994,55.67,1.57,84,47
19,Bluff,NZ,-46.6,168.33,1597557615,45.0,3.0,43,88
20,Asău,RO,46.43,26.4,1597557997,60.01,2.3,100,96
21,Saldanha,ZA,-33.01,17.94,1597557999,42.8,2.24,5,93
22,Lüderitz,NA,-26.65,15.16,1597558000,54.16,23.02,0,65
23,Bariloche,AR,-41.15,-71.31,1597557879,37.4,32.21,40,74
24,Bambanglipuro,ID,-7.95,110.28,1597558002,83.55,14.81,46,69
25,Yangi Marg`ilon,UZ,40.43,71.72,1597558003,89.6,6.93,11,21
26,Pisco,PE,-13.7,-76.22,1597557932,57.99,5.82,40,93
27,Otane,NZ,-39.88,176.63,1597558006,46.0,3.0,54,78
28,Haimen,CN,23.19,116.61,1597558008,89.6,13.42,40,62
29,Busselton,AU,-33.65,115.33,1597557586,57.99,21.05,20,44
30,Vanderhoof,CA,54.02,-124.02,1597557743,60.48,2.75,100,72
31,Albany,US,42.6,-73.97,1597557649,66.99,2.75,86,72
32,Zarubino,RU,42.63,131.09,1597558012,74.8,12.28,100,79
33,Port Lincoln,AU,-34.73,135.87,1597558014,57.0,9.53,90,62
34,Atuona,PF,-9.8,-139.03,1597557638,78.15,15.08,44,76
35,Provideniya,RU,64.38,-173.3,1597557777,55.38,8.43,32,65
36,Ushuaia,AR,-54.8,-68.3,1597557604,33.8,24.16,90,80
37,Clyde River,CA,70.47,-68.59,1597557654,33.8,3.36,75,100
38,Aklavik,CA,68.22,-135.01,1597557822,48.2,8.34,90,87
39,Hay River,CA,60.82,-115.8,1597557945,50.0,5.82,75,81
40,Tuktoyaktuk,CA,69.45,-133.04,1597558022,48.2,6.93,90,76
41,Tiksi,RU,71.69,128.87,1597557818,43.83,2.75,95,77
42,Lincoln,US,40.8,-96.67,1597557942,68.0,7.67,1,68
43,Avarua,CK,-21.21,-159.78,1597557517,71.6,10.29,13,94
44,Carnarvon,AU,-24.87,113.63,1597557722,69.8,14.99,40,60
45,Barstow,US,34.9,-117.02,1597558029,96.8,11.41,1,19
46,Vaini,TO,-21.2,-175.2,1597557839,69.8,10.29,40,68
47,Central Point,US,42.38,-122.92,1597558031,86.0,0.89,1,30
48,Pueblo Nuevo,MX,23.38,-105.38,1597558033,58.86,5.97,21,74
49,Casablanca,MA,33.59,-7.62,1597558034,66.2,4.7,40,82
50,Maumere,ID,-8.62,122.21,1597557874,82.58,2.06,4,65
51,Solana Beach,US,32.99,-117.27,1597558037,77.0,1.77,1,73
52,George Town,MY,5.41,100.34,1597557864,89.6,8.05,40,62
53,Carballo,ES,43.21,-8.69,1597558040,64.99,6.93,20,88
54,Riyadh,SA,24.69,46.72,1597557890,93.2,4.7,10,21
55,Kavieng,PG,-2.57,150.8,1597557979,84.11,4.16,15,69
56,Port Hedland,AU,-20.32,118.57,1597558044,78.8,19.46,0,57
57,Arraial do Cabo,BR,-22.97,-42.03,1597557592,71.76,12.86,39,81
58,Butaritari,KI,3.07,172.79,1597557947,82.2,11.27,87,69
59,Saint Paul Harbor,US,57.79,-152.41,1597557748,66.2,8.05,1,48
60,Portland,US,45.52,-122.68,1597557771,82.4,3.36,20,48
61,Leningradskiy,RU,69.38,178.42,1597557809,48.83,10.87,58,72
62,Viedma,AR,-40.81,-63.0,1597558051,43.0,8.99,2,51
63,San Matías,BO,-16.37,-58.4,1597557933,77.85,3.6,21,35
64,Saint George,US,37.1,-113.58,1597557621,96.8,3.36,1,14
65,Pochutla,MX,15.74,-96.47,1597558055,79.0,4.18,100,87
66,Nishihara,JP,26.18,127.76,1597558057,91.4,10.29,20,66
67,Galveston,US,29.37,-94.97,1597558058,87.01,10.29,1,79
68,Bambous Virieux,MU,-20.34,57.76,1597557942,75.99,21.92,40,57
69,Mizdah,LY,31.45,12.98,1597558060,81.99,3.24,0,31
70,Marília,BR,-22.21,-49.95,1597558062,64.65,9.55,100,83
71,Port Elizabeth,ZA,-33.92,25.57,1597557681,48.2,16.11,25,61
72,Nouadhibou,MR,20.93,-17.03,1597558043,73.06,17.25,22,81
73,Lagoa,PT,39.05,-27.98,1597557767,73.36,23.69,32,86
74,Cape Town,ZA,-33.93,18.42,1597557612,48.0,10.29,75,87
75,Jiuquan,CN,39.74,98.52,1597557864,76.19,1.99,99,25
76,Gijang,KR,35.24,129.21,1597558069,91.4,13.87,40,55
