,City,Country,Latitude,Longitude,Date,Temperature,Wind_Speed,Cloud_cover,Humidity
0,Ust'-Ilimsk,RU,58.0,102.66,1597632371,65.3,6.33,71,36
1,Saint Paul Harbor,US,57.79,-152.41,1597632330,59.74,7.4,0,77
2,Mataura,NZ,-46.19,168.86,1597632047,48.0,4.0,51,79
3,Naze,JP,28.37,129.48,1597632375,89.6,11.41,20,75
4,Rikitea,PF,-23.12,-134.97,1597632286,70.59,13.0,4,78
5,Butaritari,KI,3.07,172.79,1597632317,81.59,1.52,26,62
6,Siocon,PH,7.71,122.14,1597632380,87.21,7.07,90,62
7,Mangai,CD,-4.05,19.53,1597632382,75.94,0.72,100,74
8,Camaná,PE,-16.62,-72.71,1597632383,58.3,6.91,65,79
9,Xining,CN,36.62,101.77,1597632385,57.09,4.59,100,58
10,Port-Gentil,GA,-0.72,8.78,1597632387,75.15,11.86,100,88
11,Byron Bay,AU,-28.65,153.62,1597632373,70.0,12.75,0,37
12,Holguín,CU,20.89,-76.26,1597632391,82.4,9.17,75,78
13,Ribeira Grande,PT,38.52,-28.7,1597632392,74.28,24.9,52,88
14,Jasper,US,37.2,-94.35,1597632394,75.0,5.82,1,73
15,Upernavik,GL,72.79,-56.15,1597632395,40.59,4.74,1,69
16,Jamestown,US,42.1,-79.24,1597632341,64.99,4.7,1,93
17,Saint-Philippe,RE,-21.36,55.77,1597632301,66.2,9.17,28,55
18,Yeppoon,AU,-23.13,150.73,1597632400,75.2,9.17,0,25
19,Khatanga,RU,71.97,102.5,1597632401,68.09,3.44,32,63
20,Gizo Government Station,SB,-8.1,156.84,1597632403,81.9,8.63,44,78
21,Cidreira,BR,-30.18,-50.21,1597632404,55.08,7.9,46,76
22,Makkah al Mukarramah,SA,21.43,39.83,1597632406,88.3,5.66,71,30
23,Huambo,AO,-12.78,15.74,1597632407,50.81,2.98,1,40
24,Skjervøy,NO,70.03,20.97,1597632409,48.76,35.01,100,81
25,Busselton,AU,-33.65,115.33,1597632287,55.0,5.01,77,82
26,Lebu,CL,-37.62,-73.65,1597632413,47.44,5.35,83,85
27,Katangli,RU,51.71,143.23,1597632414,52.41,7.11,99,95
28,Punta Arenas,CL,-53.15,-70.92,1597632055,33.8,16.11,89,86
29,Torbay,CA,47.67,-52.73,1597632418,57.99,16.11,5,71
30,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,1597632204,71.6,4.47,20,60
31,Guerrero Negro,MX,27.98,-114.06,1597632202,76.96,16.15,2,70
32,Cape Town,ZA,-33.93,18.42,1597632328,44.6,6.93,96,87
33,Talnakh,RU,69.49,88.4,1597632424,62.6,13.42,21,48
34,Ponta do Sol,PT,32.67,-17.1,1597632426,73.4,16.11,20,69
35,La Bañeza,ES,42.3,-5.9,1597632427,59.0,4.7,75,77
